CustomerID,Dealership,Showroom,ComputerSearch,M5,3Series,Z4,Financing,Purchase,cluster
1,1,0,0,0,0,0,0,0,4
2,1,1,1,0,0,0,1,0,2
3,1,0,0,0,0,0,0,0,4
6,1,1,1,0,1,0,0,0,2
8,1,0,1,0,1,0,0,0,2
9,1,1,1,0,1,0,1,0,2
11,1,0,1,1,1,1,1,0,2
12,1,0,1,1,0,1,0,0,2
14,1,1,1,0,0,1,1,0,2
15,1,0,1,1,1,1,0,0,2
18,1,0,1,0,0,0,1,0,2
26,1,1,1,0,1,1,0,0,2
29,1,1,1,1,1,1,0,0,2
34,1,1,1,0,1,1,0,0,2
36,1,1,1,1,1,1,0,0,2
49,1,0,1,1,0,0,0,0,2
58,1,0,1,0,0,0,0,0,2
66,1,0,1,0,0,0,0,0,2
69,1,1,1,0,0,1,0,0,2
19,1,1,0,1,1,0,0,0,4
20,1,0,0,1,0,0,0,0,4
23,1,1,0,0,0,0,1,0,4
24,1,1,0,1,0,0,0,0,4
25,1,1,0,1,1,1,1,0,4
27,1,1,0,1,1,1,1,0,4
28,1,1,0,1,1,0,1,0,4
30,1,1,0,1,1,1,1,0,4
31,1,1,0,1,0,1,1,0,4
32,1,1,0,1,0,1,0,0,4
35,1,1,0,1,0,1,1,0,4
37,1,1,0,1,1,0,1,1,1
53,1,1,0,1,0,1,1,1,3
54,1,1,0,1,0,0,0,0,4
59,1,1,0,1,0,0,1,1,1
60,1,1,0,1,1,0,1,1,1
61,1,1,1,1,0,0,1,0,3
62,1,1,0,1,0,0,0,0,4
63,1,1,0,1,1,0,1,1,1
65,1,1,0,1,0,0,1,0,4
67,1,1,0,1,0,0,0,0,4
68,1,1,0,1,0,0,1,1,1
70,1,1,0,1,0,0,1,1,1
72,1,1,0,1,1,0,1,1,1
74,1,0,0,1,0,0,0,0,4
76,0,1,0,1,0,0,1,1,1
77,0,0,0,1,0,0,1,0,1
79,1,1,0,1,0,0,1,1,1
4,1,1,1,1,0,0,1,1,3
5,1,0,1,1,1,0,1,1,3
7,1,0,1,0,0,0,1,1,3
10,1,0,1,1,1,1,1,1,2
13,1,0,1,1,0,0,1,1,3
16,1,1,1,1,1,0,1,1,3
17,1,0,1,0,0,0,1,1,3
21,1,1,1,0,0,1,1,1,3
22,1,0,1,0,0,1,1,1,3
48,0,0,1,1,0,0,1,1,3
50,1,0,1,1,0,1,1,0,2
51,0,1,1,1,0,1,1,1,3
52,0,1,1,1,0,1,1,0,3
56,0,0,0,1,1,0,1,1,1
64,1,1,1,1,0,1,1,1,3
71,1,1,1,1,0,1,1,1,3
73,0,0,0,1,0,0,1,1,1
75,1,0,0,1,0,1,1,1,3
78,1,1,1,1,0,1,1,1,3
81,0,0,0,1,0,0,1,1,1
82,0,0,0,1,1,0,1,1,1
33,1,1,0,0,1,0,1,1,1
38,0,1,1,0,1,0,1,0,0
39,0,1,1,0,1,0,1,0,0
43,0,1,0,0,1,0,1,1,1
46,0,1,1,0,1,0,1,0,0
47,0,1,1,0,1,1,1,1,0
84,0,1,0,0,1,1,1,1,0
88,0,1,0,0,1,1,1,1,0
91,0,1,0,0,1,1,1,1,0
92,0,1,0,0,1,1,1,1,0
94,0,1,0,0,1,1,1,1,0
95,0,1,0,0,1,1,1,0,0
97,0,1,0,0,1,1,1,1,0
98,0,1,0,0,1,1,1,1,0
100,0,1,1,0,1,1,1,0,0
40,0,1,0,0,1,0,0,0,0
41,0,1,0,0,1,0,0,0,0
42,0,1,0,0,1,1,0,0,0
44,0,1,0,0,1,0,0,0,0
45,0,1,1,0,1,1,0,0,0
55,0,1,0,1,1,0,0,0,1
57,0,0,0,1,1,0,0,0,1
80,0,0,0,1,1,0,0,0,1
83,0,1,1,0,1,0,0,0,0
85,0,1,0,0,1,1,0,0,0
86,0,1,0,0,1,1,0,0,0
87,0,1,0,0,1,1,0,0,0
89,0,1,0,0,1,1,0,0,0
90,0,1,1,0,1,1,0,0,0
93,0,1,1,0,1,0,0,0,0
96,0,1,0,0,1,1,0,0,0
99,0,1,0,0,1,1,0,0,0
